"","Student.Code","Time","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","blanks"
"1","DXKCU5490F",36,"B","B","B","C","D","B","E","C","C","D","D","A","B","B","C","AB","AB","ABEF","ADE",NA,1
"2","ONVXC6426B",25,"C","B","B","E","A","A","E","D","B","D","E","B","C","B","C","B","ABCD","AEF","BE","CD",0
"3","TPOPW2456X",44,"A","B","B","C","B","E","E","C","C","D","E","B","A","B","ABEF","D","AD","CD","BC","CD",0
"4","ZIFGX9633O",27,"A","B","B","C","C","E","E","C","A","D","E","B","A","E","ABC","B","AD","DF","BD","C",0
"5","PHQVJ0501Q",36,"A","B","C","C","D","C","E","C","C","D","E","B","A","G","AF","D","AD","ABCDG","CE","CD",0
"6","PWCGD3431K",39,"A","B","B","E","D","C","E","C","C","D","D","B","A","B","AF","D","AB","CG","ACE","C",0
"7","WFFUS4518Y",30,"A","B","B","C","D","D","E","C","B","E","F","A","A","B","CEF","B","AD","ACDG","AB","F",0
"8","NZZPK0076B",48,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","AF","B","ACD","DG","AB","C",0
"9","QINGJ8768L",30,"B","B","B","C","F","C","E","C","C","D","D","B","A","B","CD","AB","AD","DF","A","C",0
"10","JMRZJ2586G",37,"B","B","B","C","D","C","E","C","C","D","F","A","A","B","C","A","ACD","D","AE","C",0
"11","KHSLO6525G",44,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","D","AB","AB","C",0
"12","SOWDM7150F",32,"A","B","B","C","C","C","E","C","B","D","F","A","A","B","C","D","AC","ABCEG","B","C",0
"13","MQZZN6879F",27,"A","A","B","E","C","E","E","C","C","D","F","B","A","B","AF","D","ACD","ABCE","B","CD",0
"14","MOELC0451L",31,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","AF","D","E","ABD","BE","C",0
"15","CPEJC0739F",54,"A","B","B","C","C","B","E","C","B","D","B","A","A","E","C","AB","CD","AC","CD","D",0
"16","ZLGRR1725N",28,"B","B","B","D","C","A","E","C","B","D","C","B","A","F","C","AB","A","ABCEF","CD","B",0
"17","EVWIW8619U",43,"B","B","B","D","C","D","E","B","C","D","D","A","C","F","AF","D","A","ACD","ABC","C",0
"18","RUHHY9960G",43,"B","B","B","D","C","C","B","E","C","D","B","B","A","B","BE","D","A","ACEF","ABC","AD",0
"19","PHAWC7379S",41,"B","B","B","C","D","C","E","C","C","C","E","B","A","G","AF","AB","ACD","EF","AB","CD",0
"20","RYHAE8293Y",29,"B","B","B","C","D","B","E","C","B","D","E","A","A","D","C","B","AD","CG","BD","C",0
"21","GAXZI7181Q",41,"A","B","B","C","D","C","E","C","B","D","E","B","A","G","AF","D","A","AC","A","CF",0
"22","KHAYT6028X",30,"B","B","B","C","D","A","D","C","C","D","F","A","A","B","CF","B","AD","ABCE","B","B",0
"23","CATYW7360M",29,"D","B","B","D","C","D","E","C","C","D","A","A","C","F","AF","B","AC","ABEF","B",NA,1
"24","NBLHQ2972L",27,"B","B","B","D","F","C","E","C","C","D","E","A","A","B","AF","D","ACD","DG","B","C",0
"25","AZMBL8672V",35,"B","B","B","E","B","C","E","C","B","D","F","B","E","D","AF","B","AD","BCEF","BE","D",0
"26","XEZAQ8226M",29,"A","B","C","A","A","D","C",NA,"D","A","D","B","C","C","CF",NA,"BD","D","ABD",NA,3
"27","ZSOTV2356I",34,"B","A","B","C","D","E","E","C","C","D","E","A","C","F","C","AB","ACD","G","B","C",0
"28","GXHBL7269B",39,"B","A","D","D","C","B","E","E","A","A","D","C","C","G","BE",NA,"AD","DEF","AD","AE",1
"29","QWVLR1468V",33,"A","B","B","C","F","E","E","C","A","B","F","B","A","C","C","B","AB","ADF","AB","C",0
"30","WQMRM9472O",36,"A","B","B","D","C","E","E","A","C","D","D","B","D","A","CF","D","E","ACF","ABE","C",0
"31","HSIMK4163I",29,"B","B","B","C","A","C","E","C","B","D","C","A","A","B","C","D","A","ABCEF","BD","C",0
"32","MDKWV5100G",37,"B","B","C","D","D","E","D","E","B","E","A","B","C","B","ABEF","AB","A","BEG","ABC","C",0
"33","AJLVG3456H",34,"A","B","B","C","B","C","E","E","C","D","E","B","A","B","B","B","A","EF","B","CD",0
"34","BAULF2110O",27,"A","B","C","E","E","D","D","C","B","B","A","B","C","F","CD","B","ABCD","CEG","BC","CD",0
"35","RPUKF5718A",35,"B","B","B","C","D","C","C","C","B","D","D","B","A","B","C","D","AC","ACF","B","ACD",0
"36","KTWWM5206X",18,"B","B","B","E","A","D","D","C","E","B","E","B","A","B","BCE","D","ACD","EG","ABCE","B",0
"37","NPFUI2236D",21,"A","B","B","D","C","A","E","C","D","D","F","B","A","F","C","D","E","EF","ABE","C",0
"38","SLAHC2770I",37,"D","B","B","D","C","B","E","C","B","A","E","B","C","B","C","D","ACD","ABC","AC","C",0
"39","ENMXP3606O",28,"B","B","D","E","F","C","D","E","A","E","D",NA,"D","F","CE","AB","E","E","CD","C",1
"40","YPSJQ0888W",42,"B","B","B","D","C","E","E","C","C","D","D","B","A","F","C","D","AD","EF","BE","BD",0
"41","ICJTE3980Q",35,"B","B","B","C","D","C","E","C","E","D","E","A","A","C","C","D","ACD","DG","AC","C",0
"42","HUHBR3593K",43,"B","B","B","D","B","B","D","C","C","D","A","A","A","F","CF","D","E","ACE","AB","BD",0
"43","ABVJT2009E",53,"A","B","C","E","E","D","E","C","B","D","B","B","C","F","AF","D","ACD","AC","BDE","CD",0
"44","RPHAX3603A",31,"A","B","B","C","F","D","E","C","B","D","E","B","A","G","ABEF","D","AD","ACDF","B","B",0
"45","ICYEN1862W",35,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","ACD","BG","AB","C",0
"46","IZJWW5377P",45,"B","B","B","D","D","E","E","C","B","A","A","B",NA,"G","CEF","D","AC","CEF","BCE","CD",1
"47","GEKNJ6602C",38,"B","A","B","C","D","E","E","E","D","D","E","A","A","F","C","D","ABCD","ABCEF","BE","C",0
"48","QBIJH2198O",41,"B","B","B","E","C","E","E","C","C","D","E","B","A","F","C","D","ACD","ABCEF","AB","C",0
"49","FVSQR7951M",39,"B","B","B","C","C","E","E","C","C","D","E","A","A","B","CD","B","ACD","DF",NA,"C",1
"50","LAEFU7870P",36,"B","A","B","E","C","D","E","C","C","D","D","B","A","G","C","B","E","BF","BCE","CD",0
"51","EZNKA8409I",44,"A","B","B","C","E","E","E","C","C","E","F","A","C","D","C","AB","ACD","ACE","ABE","C",0
"52","JSXMQ4960F",32,"A","B","B","E","D","E","E","B","B","D","F","B","C","F","BCE","D","E","AF","BD","E",0
"53","PLEUM7727Y",36,"A","A","B","A","D","E","D","B","E","D","C","B","C","F","CE","C","A","BC","BD",NA,1
"54","OECLX7712D",38,"A","B","B","C","F","C","E","C","C","D","B","A","A","B","AF","D","ACD","ABCEF","BC","C",0
"55","YAWXW8707S",39,"B","B","B","C","D","C","E","C","B","D","E","A","A","B","C","CD","ACD","ACEF","A","C",0
"56","JSLRB5106V",7,"A","B","B","C","C","D","D","B","E","C","A","C","D","D","BC","ABD","E","E","CE","BC",0
"57","RFDDW2883A",34,"B","B","B","D","E","E","E","E","C","D","A","B","B","B","DE","B","ABC","BD","BD","CD",0
"58","IJSDN0189M",32,"B","B","B","D","C","E","E","C","A","D","F","A","A","F",NA,"D","E","ABC",NA,"CD",2
"59","JFQRN8560L",44,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","E","ADF","BD","C",0
"60","IHOFN0386T",31,"B","B","B","E","D","E","E","C","B","D","B","A","C","B","C","AC","AD","ABC","AB","C",0
"61","ZRIOC6458B",53,"B","B","B","D","A","C","E","C","B","D","B","B","C","F","C","D","A","ADG","B","C",0
"62","QALTK5775B",39,"B","B","B","C","C","C","E","C","E","D","F","B","A","G","C","D","AD","ACDF","BE","C",0
"63","OHGSB8656T",40,"A","B","B","C","E","E","E","C","B","E","A","B","C","B","CF","AB","AC","ABC","BCD","CD",0
"64","ZRXAU3525G",25,"A","B","B","D","C","C","E","C","B","D","F","A","A","G","CE","D","E","BEG","D","BD",0
"65","GRMPQ7969F",20,"C","B","B","C","E","C","E","A","B","D","D","A","A","F","C","D","AD","ABDF","BE","C",0
"66","EIOJJ8024W",29,"B","B","B","C","E","D","E","E","E","D","F","B","A","B","CE","B","ACD","B","ABCD","CD",0
"67","DAJWA1139T",28,"B","B","B","C","E","C","E","C","C","D","E","A","A","F","C","D","A","DG","AC","F",0
"68","DMBQD5990B",52,"B","B","B","E","D","C","E","C","C","D","E","B","A","F","C","B","AD","CE","C","CE",0
"69","ABUUD8434Z",44,"B","A","B","C","C","C","E","B","C","D","E","C","A","C","BCF","AB","CD","AD","ABE","C",0
"70","AOEIS5788B",44,"B","B","B","E","D","E","E","C","D","D","D","B","A","C","AF","D","AD","ACEF","AB","BC",0
"71","HFZPQ6513J",37,"A","A","B","C","D","D","D","C","E","D","D","A","A","G","CD","AB","ACD","DF","BD","BD",0
"72","PNLUX9020V",42,"B","B","B","C","D","C","E","C","B","D","E","A","C","F","C","D","ACD","ACDG","DE","C",0
"73","WBOFO7339U",36,"B","B","B","C","F","E","E","E","D","D","E","B","B","F","C","C","AB","DF","ABCE","CD",0
"74","HHRHM9924Z",24,"B","B","A","D","D","E","E","C","B","D","C","A","B","B","AD","AB","E","ABCEF","ABCDE","CD",0
"75","VDCHF3545Q",31,"A","B","B","D","A","D","A","C","E","A","D","B","C","B","AF","B","AD","ABCEF","AB","CD",0
"76","KIGXK7286Y",30,"C","D","B","E","A","D","D","D","B","C","F","B","A","C","CE","B","C","BCDF","BC","CDE",0
"77","UHXSI1284D",50,"A","B","B","D","F","B","D","E","B","A","C","B","A","D","BE","AB","ABC","CEG","CE","BD",0
"78","PQWCJ5422T",33,"A","B","C","C","C","A","E","E","C","D","F","B","D","D","CEF","B","BD","ABCEF","BC","AC",0
"79","MNWNA9844B",29,"B","B","B","C","C","C","E","C","C","D","E","B","A","B","C","AB","ABCD",NA,"BD","C",1
"80","FJSGM7897Q",30,"A","B","B","D","A","B","D","C","C","A","F","B","A","F","A","AD","ABD","ACEF","BD","C",0
"81","ZPUUX5571U",35,"A","B","C","E","D","A","D","C","D","C","A","D","A","F","ABD","B","E","AC","BC","AD",0
"82","WFQDP1457G",49,"A","B","B","D","C","C","E","C","E","D","A","B","A","B","C","D","AD","BE","B","CE",0
"83","MHBUE7302N",36,"B","A","C","B","E","E","D","A","E","D","A","B","A","G","AF","AB","AD","BCEG","AB","B",0
"84","GGTIA8619L",41,"B","B","B","C","D","E","E","E","E","D","E","D","A","C","AB","D","ABCD","EF","AB","CD",0
"85","RVXPT6992Q",35,"B","D","B","C","D","D","B","C","B","B","F","A","A","B","AF","BC","A","BCEG","ADE","BD",0
"86","LCKNP0798R",33,"A","A","A","C","C","C","B","C","C","E","A","B","C","D","C","CD","E","ABE","AE","BD",0
"87","RBMXY0678F",15,"B","B","B","D","D","E","D","C","B","D","E","B","A","B","ABEF","D","AD","ACF","BCD","BD",0
"88","LMEPZ7961Z",41,"A","B","B","C","A","E","D","C","B","D","D","B","C","E","ACE","AB","AC","F",NA,"C",1
"89","XZYJT3224U",38,"B","A","B","C","D","E","E","C","B","D","E","A","A","F","C","D","E","ADF","BDE","C",0
"90","XPVUZ8996T",32,"D","B","B","E","C","C","E","C","C","B","D","A","A","C","BE","AB","CD","F","AB","BD",0
"91","KKNYG6869Z",24,"C","B","B","C","D","B","E","C","B","D","F","B","C","F","BE","BC","AC","BDF",NA,"BD",1
"92","SXJLL8465F",35,"B","B","B","C","C","D","D","C","C","D","F","A","C","F","CE","D","AC","G","ABE","CD",0
"93","IIMAE4962H",42,"A","B","B","C","D","C","E","C","C","D","D","A","A","B","C","D","ACD","DF","BD","C",0
"94","WDJLL3478Q",41,"B","B","B","E","C","D","E","C","C","D","A","B","C","F","AF","D","BC","ACEF","AB","C",0
"95","LVRLO0648G",33,"B","B","B","C","D","C","E","C","C","D","D","A","A","B","CE","D","A","D","ABE","B",0
"96","JJWHP4762X",44,"B","A","B","E","E","C","E","C","C","D","E","B","E","E","C","B","E","ABD","B","C",0
"97","TGKXN2346S",27,"A","A","B","C","A","B","E","C","B","C","B","A","A","F","BE","D","B","ABEF","AC","CD",0
